countyFIPS,County Name,State,cases,cases_per_thousand,population,pop_per_thousand,population_log,cases_per_pop
27161,Waseca County,MN,768,0.768,18612,18.612,4.26979304386123,4.1264
28071,Lafayette County,MS,2228,2.228,54019,54.019,4.73254654026421,4.1245
22097,St. Landry Parish,LA,3382,3.382,82124,82.124,4.91447009432277,4.1182
37061,Duplin County,NC,2414,2.414,58741,58.741,4.76894133562882,4.1096
28017,Chickasaw County,MS,701,0.701,17103,17.103,4.23307229572379,4.0987
13127,Glynn County,GA,3494,3.494,85292,85.292,4.93090829823916,4.0965
22051,Jefferson Parish,LA,17683,17.683,432493,432.493,5.63597908270031,4.0886
51750,Radford city,VA,746,0.746,18249,18.249,4.26123907118259,4.0879
5143,Washington County,AR,9763,9.763,239187,239.187,5.37873757171399,4.0817
22091,St. Helena Parish,LA,413,0.413,10132,10.132,4.00569518111851,4.0762
46027,Clay County,SD,572,0.572,14070,14.07,4.14829409743475,4.0654
28115,Pontotoc County,MS,1307,1.307,32174,32.174,4.50750505748067,4.0623
13109,Evans County,GA,432,0.432,10654,10.654,4.02751269244881,4.0548
13285,Troup County,GA,2833,2.833,69922,69.922,4.84461384205972,4.0517
22053,Jefferson Davis Parish,LA,1264,1.264,31368,31.368,4.49648682929215,4.0296
12007,Bradford County,FL,1135,1.135,28201,28.201,4.45026450855985,4.0247
40089,McCurtain County,OK,1321,1.321,32832,32.832,4.5162973390957,4.0235
47097,Lauderdale County,TN,1030,1.03,25633,25.633,4.40879943752253,4.0183
48131,Duval County,TX,448,0.448,11157,11.157,4.04754743307863,4.0154
38015,Burleigh County,ND,3833,3.833,95626,95.626,4.98057598977957,4.0083
22039,Evangeline Parish,LA,1336,1.336,33395,33.395,4.52368144780075,4.0006
28127,Simpson County,MS,1065,1.065,26658,26.658,4.42582756362451,3.9950
13037,Calhoun County,GA,247,0.247,6189,6.189,3.79162048269281,3.9910
13021,Bibb County,GA,6097,6.097,153159,153.159,5.18514252210566,3.9808
19115,Louisa County,IA,439,0.439,11035,11.035,4.04277233749767,3.9783
13059,Clarke County,GA,5105,5.105,128331,128.331,5.10833157845375,3.9780
51029,Buckingham County,VA,682,0.682,17148,17.148,4.23421347483859,3.9771
47033,Crockett County,TN,565,0.565,14230,14.23,4.15320490008428,3.9705
