countyFIPS,cases,cases_per_thousand,population,pop_thousand,cases_per_pop
5133,1208,1.208,17007,17.007,7.1030
5135,242,0.242,17442,17.442,1.3875
5137,367,0.367,12506,12.506,2.9346
5139,924,0.924,38682,38.682,2.3887
5141,178,0.178,16545,16.545,1.0759
5143,9763,9.763,239187,239.187,4.0817
5145,925,0.925,78753,78.753,1.1746
5147,57,0.057,6320,6.32,0.9019
5149,1260,1.26,21341,21.341,5.9041
6001,21458,21.458,1671329,1671.329,1.2839
6003,2,0.002,1129,1.129,0.1771
6005,259,0.259,39752,39.752,0.6515
6007,2824,2.824,219186,219.186,1.2884
6009,322,0.322,45905,45.905,0.7014
6011,538,0.538,21547,21.547,2.4969
6013,16973,16.973,1153526,1153.526,1.4714
6015,144,0.144,27812,27.812,0.5178
6017,1158,1.158,192843,192.843,0.6005
6019,28706,28.706,999101,999.101,2.8732
6021,598,0.598,28393,28.393,2.1062
6023,515,0.515,135558,135.558,0.3799
6025,11993,11.993,181215,181.215,6.6181
6027,190,0.19,18039,18.039,1.0533
6029,32184,32.184,900202,900.202,3.5752
6031,7851,7.851,152940,152.94,5.1334
6033,433,0.433,64386,64.386,0.6725
6035,742,0.742,30573,30.573,2.4270
6037,271371,271.371,10039107,10039.107,2.7031
6039,4614,4.614,157327,157.327,2.9327
6041,6729,6.729,258826,258.826,2.5998
6043,76,0.076,17203,17.203,0.4418
6045,971,0.971,86749,86.749,1.1193
6047,9019,9.019,277680,277.68,3.2480
6049,12,0.012,8841,8.841,0.1357
6051,167,0.167,14444,14.444,1.1562
6053,10181,10.181,434061,434.061,2.3455
6055,1727,1.727,137744,137.744,1.2538
6057,543,0.543,99755,99.755,0.5443
6059,53909,53.909,3175692,3175.692,1.6976
6061,3617,3.617,398329,398.329,0.9080
6063,50,0.05,18807,18.807,0.2659
6065,59488,59.488,2470546,2470.546,2.4079
6067,22755,22.755,1552058,1552.058,1.4661
6069,1310,1.31,62808,62.808,2.0857
6071,55394,55.394,2180085,2180.085,2.5409
6073,47485,47.485,3338330,3338.33,1.4224
6075,11332,11.332,881549,881.549,1.2855
6077,20457,20.457,762148,762.148,2.6841
6079,3649,3.649,283111,283.111,1.2889
6081,10069,10.069,766573,766.573,1.3135
6083,9223,9.223,446499,446.499,2.0656
6085,21457,21.457,1927852,1927.852,1.1130
6087,2427,2.427,273213,273.213,0.8883
6089,927,0.927,180080,180.08,0.5148
6091,6,0.006,3005,3.005,0.1997
6093,166,0.166,43539,43.539,0.3813
6095,6475,6.475,447643,447.643,1.4465
6097,7578,7.578,494336,494.336,1.5330
6099,16573,16.573,550660,550.66,3.0097
6101,1733,1.733,96971,96.971,1.7871
6103,595,0.595,65084,65.084,0.9142
6105,16,0.016,12285,12.285,0.1302
6107,16322,16.322,466195,466.195,3.5011
6109,229,0.229,54478,54.478,0.4204
6111,12867,12.867,846006,846.006,1.5209
6113,2836,2.836,220500,220.5,1.2862
6115,1183,1.183,78668,78.668,1.5038
8001,9491,9.491,517421,517.421,1.8343
8003,245,0.245,16233,16.233,1.5093
8005,9481,9.481,656590,656.59,1.4440
8007,54,0.054,14029,14.029,0.3849
8009,18,0.018,3581,3.581,0.5027
8011,11,0.011,5577,5.577,0.1972
8013,4478,4.478,326196,326.196,1.3728
8014,674,0.674,70465,70.465,0.9565
8015,336,0.336,20356,20.356,1.6506
8017,14,0.014,1831,1.831,0.7646
8019,40,0.04,9700,9.7,0.4124
8021,36,0.036,8205,8.205,0.4388
8023,32,0.032,3887,3.887,0.8233
8025,74,0.074,6061,6.061,1.2209
8027,18,0.018,5068,5.068,0.3552
8029,191,0.191,31162,31.162,0.6129
8031,13474,13.474,727211,727.211,1.8528
8033,3,0.003,2055,2.055,0.1460
8035,2687,2.687,351154,351.154,0.7652
8037,1265,1.265,55127,55.127,2.2947
8039,163,0.163,26729,26.729,0.6098
8041,7027,7.027,720403,720.403,0.9754
8043,176,0.176,47839,47.839,0.3679
8045,958,0.958,60061,60.061,1.5950
8047,19,0.019,6243,6.243,0.3043
8049,83,0.083,15734,15.734,0.5275
8051,296,0.296,17462,17.462,1.6951
8053,3,0.003,820,0.82,0.3659
8055,24,0.024,6897,6.897,0.3480
8057,9,0.009,1392,1.392,0.6466
8059,5902,5.902,582881,582.881,1.0126
8061,1,0.001,1406,1.406,0.0711
8063,81,0.081,7097,7.097,1.1413
8065,99,0.099,8127,8.127,1.2182
8067,266,0.266,56221,56.221,0.4731
8069,2662,2.662,356899,356.899,0.7459
8071,25,0.025,14506,14.506,0.1723
8073,13,0.013,5701,5.701,0.2280
8075,889,0.889,22409,22.409,3.9672
8077,663,0.663,154210,154.21,0.4299
8079,20,0.02,769,0.769,2.6008
8081,43,0.043,13283,13.283,0.3237
8083,145,0.145,26183,26.183,0.5538
8085,385,0.385,42758,42.758,0.9004
8087,755,0.755,29068,29.068,2.5974
8089,100,0.1,18278,18.278,0.5471
8091,28,0.028,4952,4.952,0.5654
8093,58,0.058,18845,18.845,0.3078
8095,33,0.033,4265,4.265,0.7737
8097,225,0.225,17767,17.767,1.2664
8099,94,0.094,12172,12.172,0.7723
8101,1146,1.146,168424,168.424,0.6804
8103,25,0.025,6324,6.324,0.3953
8105,96,0.096,11267,11.267,0.8520
8107,159,0.159,25638,25.638,0.6202
8109,111,0.111,6824,6.824,1.6266
8111,6,0.006,728,0.728,0.8242
8113,94,0.094,8179,8.179,1.1493
8115,15,0.015,2248,2.248,0.6673
8117,471,0.471,31011,31.011,1.5188
8119,177,0.177,25388,25.388,0.6972
8121,67,0.067,4908,4.908,1.3651
8123,4834,4.834,324492,324.492,1.4897
8125,126,0.126,10019,10.019,1.2576
9001,20264,20.264,943332,943.332,2.1481
9003,14874,14.874,891720,891.72,1.6680
9005,1890,1.89,180333,180.333,1.0481
9007,1604,1.604,162436,162.436,0.9875
9009,14520,14.52,854757,854.757,1.6987
9011,2087,2.087,265206,265.206,0.7869
9013,1370,1.37,150721,150.721,0.9090
9015,1004,1.004,116782,116.782,0.8597
10001,2969,2.969,180786,180.786,1.6423
10003,10520,10.52,558753,558.753,1.8828
10005,6807,6.807,234225,234.225,2.9062
11001,15358,15.358,705749,705.749,2.1761
12001,8352,8.352,269043,269.043,3.1043
12003,1492,1.492,29210,29.21,5.1078
12005,6146,6.146,174705,174.705,3.5179
12007,1135,1.135,28201,28.201,4.0247
12009,9154,9.154,601942,601.942,1.5207
12011,77433,77.433,1952778,1952.778,3.9653
12013,622,0.622,14105,14.105,4.4098
12015,3097,3.097,188910,188.91,1.6394
12017,2793,2.793,149657,149.657,1.8663
12019,5193,5.193,219252,219.252,2.3685
12021,12789,12.789,384902,384.902,3.3227
12023,3852,3.852,71686,71.686,5.3734
12027,1573,1.573,38001,38.001,4.1394
12029,834,0.834,16826,16.826,4.9566
12031,30666,30.666,957755,957.755,3.2019
12033,12393,12.393,318316,318.316,3.8933
12035,1762,1.762,115081,115.081,1.5311
12037,628,0.628,12125,12.125,5.1794
12039,2840,2.84,45660,45.66,6.2199
12041,513,0.513,18582,18.582,2.7607
12043,545,0.545,13811,13.811,3.9461
12045,879,0.879,13639,13.639,6.4448
12047,861,0.861,14428,14.428,5.9676
12049,1375,1.375,26937,26.937,5.1045
12051,2077,2.077,42022,42.022,4.9426
12053,3194,3.194,193920,193.92,1.6471
12055,2186,2.186,106221,106.221,2.0580
12057,42380,42.38,1471968,1471.968,2.8791
12059,756,0.756,19617,19.617,3.8538
12061,3279,3.279,159923,159.923,2.0504
12063,2840,2.84,46414,46.414,6.1188
12065,562,0.562,14246,14.246,3.9450
12067,1233,1.233,8422,8.422,14.6402
12069,7567,7.567,367118,367.118,2.0612
12071,20586,20.586,770577,770.577,2.6715
12073,10710,10.71,293582,293.582,3.6480
12075,1046,1.046,41503,41.503,2.5203
12077,518,0.518,8354,8.354,6.2006
12079,1017,1.017,18493,18.493,5.4994
12081,11619,11.619,403253,403.253,2.8813
12083,9806,9.806,365579,365.579,2.6823
12085,4942,4.942,161000,161,3.0696
12086,170882,170.882,2716940,2716.94,6.2895
12087,1855,1.855,74228,74.228,2.4991
12089,2139,2.139,88625,88.625,2.4135
12091,5082,5.082,210738,210.738,2.4115
12093,1576,1.576,42168,42.168,3.7374
12095,40485,40.485,1393452,1393.452,2.9054
12097,12605,12.605,375751,375.751,3.3546
12099,46698,46.698,1496770,1496.77,3.1199
12101,9371,9.371,553947,553.947,1.6917
12103,22266,22.266,974996,974.996,2.2837
12105,20120,20.12,724777,724.777,2.7760
12107,2145,2.145,74521,74.521,2.8784
12109,5423,5.423,264672,264.672,2.0490
12111,8120,8.12,328297,328.297,2.4734
12113,5378,5.378,184313,184.313,2.9179
12115,8233,8.233,433742,433.742,1.8981
12117,9107,9.107,471826,471.826,1.9302
12119,2397,2.397,132420,132.42,1.8101
12121,2745,2.745,44417,44.417,6.1801
12123,1338,1.338,21569,21.569,6.2033
12125,980,0.98,15237,15.237,6.4317
12127,10991,10.991,553284,553.284,1.9865
12129,1147,1.147,33739,33.739,3.3996
12131,1989,1.989,74071,74.071,2.6853
12133,1084,1.084,25473,25.473,4.2555
13001,1043,1.043,18386,18.386,5.6728
13003,446,0.446,8165,8.165,5.4623
13005,599,0.599,11164,11.164,5.3655
13007,84,0.084,3038,3.038,2.7650
13009,2127,2.127,44890,44.89,4.7382
13011,498,0.498,19234,19.234,2.5892
13013,2240,2.24,83240,83.24,2.6910
13015,2960,2.96,107738,107.738,2.7474
13017,791,0.791,16700,16.7,4.7365
13019,460,0.46,19397,19.397,2.3715
13021,6097,6.097,153159,153.159,3.9808
13023,438,0.438,12873,12.873,3.4025
13025,347,0.347,19109,19.109,1.8159
13027,524,0.524,15457,15.457,3.3900
13029,1159,1.159,39627,39.627,2.9248
13031,2895,2.895,79608,79.608,3.6366
13033,826,0.826,22383,22.383,3.6903
13035,669,0.669,24936,24.936,2.6829
13037,247,0.247,6189,6.189,3.9910
13039,1306,1.306,54666,54.666,2.3891
13043,466,0.466,10803,10.803,4.3136
13045,2819,2.819,119992,119.992,2.3493
13047,1212,1.212,67580,67.58,1.7934
13049,638,0.638,13392,13.392,4.7640
13051,8548,8.548,289430,289.43,2.9534
13053,1678,1.678,10907,10.907,15.3846
13055,792,0.792,24789,24.789,3.1950
13057,6159,6.159,258773,258.773,2.3801
13059,5105,5.105,128331,128.331,3.9780
13061,121,0.121,2834,2.834,4.2696
13063,7114,7.114,292256,292.256,2.4342
13065,380,0.38,6618,6.618,5.7419
13067,19829,19.829,760141,760.141,2.6086
13069,2079,2.079,43273,43.273,4.8044
13071,1898,1.898,45600,45.6,4.1623
13073,3796,3.796,156714,156.714,2.4222
13075,553,0.553,17270,17.27,3.2021
13077,2637,2.637,148509,148.509,1.7756
13079,168,0.168,12404,12.404,1.3544
13081,573,0.573,22372,22.372,2.5612
13083,286,0.286,16116,16.116,1.7746
13085,838,0.838,26108,26.108,3.2097
13087,1173,1.173,26404,26.404,4.4425
13089,18938,18.938,759297,759.297,2.4941
13091,434,0.434,20605,20.605,2.1063
13093,340,0.34,13390,13.39,2.5392
13095,3163,3.163,87956,87.956,3.5961
13097,3621,3.621,146343,146.343,2.4743
13099,506,0.506,10190,10.19,4.9657
13101,241,0.241,4006,4.006,6.0160
13103,1464,1.464,64296,64.296,2.2770
13105,698,0.698,19194,19.194,3.6366
13107,1083,1.083,22646,22.646,4.7823
13109,432,0.432,10654,10.654,4.0548
13111,686,0.686,26188,26.188,2.6195
13113,1896,1.896,114421,114.421,1.6570
13115,3259,3.259,98498,98.498,3.3087
13117,4160,4.16,244252,244.252,1.7032
13119,765,0.765,23349,23.349,3.2764
13121,27790,27.79,1063937,1063.937,2.6120
13123,830,0.83,31369,31.369,2.6459
13125,39,0.039,2971,2.971,1.3127
13127,3494,3.494,85292,85.292,4.0965
13129,1880,1.88,57963,57.963,3.2434
13131,796,0.796,24633,24.633,3.2314
13133,509,0.509,18324,18.324,2.7778
13135,27733,27.733,936250,936.25,2.9621
13137,1700,1.7,45328,45.328,3.7504
13139,9498,9.498,204441,204.441,4.6458
13141,397,0.397,8457,8.457,4.6943
13143,493,0.493,29792,29.792,1.6548
13145,799,0.799,35236,35.236,2.2676
13147,522,0.522,26205,26.205,1.9920
13149,199,0.199,11923,11.923,1.6690
13151,5307,5.307,234561,234.561,2.2625
13153,3166,3.166,157863,157.863,2.0055
13155,313,0.313,9416,9.416,3.3241
13157,2035,2.035,72977,72.977,2.7885
13159,221,0.221,14219,14.219,1.5543
13161,725,0.725,15115,15.115,4.7966
13163,805,0.805,15362,15.362,5.2402
13165,435,0.435,8676,8.676,5.0138
13167,416,0.416,9643,9.643,4.3140
13169,565,0.565,28735,28.735,1.9662
13171,374,0.374,19077,19.077,1.9605
13173,297,0.297,10423,10.423,2.8495
13175,1671,1.671,47546,47.546,3.5145
13177,703,0.703,29992,29.992,2.3440
13179,1129,1.129,61435,61.435,1.8377
13181,213,0.213,7921,7.921,2.6891
13183,252,0.252,19559,19.559,1.2884
13185,3942,3.942,117406,117.406,3.3576
13187,930,0.93,33610,33.61,2.7670
13189,607,0.607,21312,21.312,2.8482
13191,294,0.294,14378,14.378,2.0448
13193,235,0.235,12947,12.947,1.8151
13195,706,0.706,29880,29.88,2.3628
13197,192,0.192,8359,8.359,2.2969
13199,546,0.546,21167,21.167,2.5795
13201,270,0.27,5718,5.718,4.7219
13205,818,0.818,21863,21.863,3.7415
13207,700,0.7,27578,27.578,2.5383
13209,317,0.317,9172,9.172,3.4562
13211,487,0.487,19276,19.276,2.5265
13213,844,0.844,40096,40.096,2.1049
13215,6070,6.07,195769,195.769,3.1006
13217,2617,2.617,111744,111.744,2.3420
13219,766,0.766,40280,40.28,1.9017
13221,339,0.339,15259,15.259,2.2216
13223,2827,2.827,168667,168.667,1.6761
13225,674,0.674,27546,27.546,2.4468
