FIPSCode,State,A3a,participated,percentage_participated
2012100000,KS,20413,15479,0.76
2012300000,KS,4006,782,0.20
2012500000,KS,17855,12335,0.69
2012700000,KS,3674,2710,0.74
2012900000,KS,1830,1241,0.68
2013100000,KS,6912,5289,0.77
2013300000,KS,10445,6481,0.62
2013500000,KS,1887,1489,0.79
2013700000,KS,2912,2317,0.80
2013900000,KS,10082,7398,0.73
2014100000,KS,2547,1877,0.74
2014300000,KS,3891,2997,0.77
2014500000,KS,3526,2771,0.79
2014700000,KS,3384,2729,0.81
2014900000,KS,13198,11158,0.85
2015100000,KS,5129,3986,0.78
2015300000,KS,1889,1502,0.80
2015500000,KS,35194,25088,0.71
2015700000,KS,3498,2577,0.74
2015900000,KS,5420,3794,0.70
2016100000,KS,28082,22811,0.81
2016300000,KS,3338,2426,0.73
2016500000,KS,1998,1562,0.78
2016700000,KS,4031,3265,0.81
2016900000,KS,32154,22694,0.71
2017100000,KS,3046,2247,0.74
2017300000,KS,265915,195746,0.74
2017500000,KS,8795,5218,0.59
2017700000,KS,97594,78356,0.80
2017900000,KS,1778,1414,0.80
2018100000,KS,3024,2674,0.88
2018300000,KS,2590,2111,0.82
2018500000,KS,2559,1949,0.76
2018700000,KS,1064,806,0.76
2018900000,KS,2878,1923,0.67
2019100000,KS,14686,9994,0.68
2019300000,KS,4338,3705,0.85
2019500000,KS,2038,1522,0.75
2019700000,KS,4633,3506,0.76
2019900000,KS,1026,826,0.81
2020100000,KS,3209,2822,0.88
2020300000,KS,1315,971,0.74
2020500000,KS,4747,3713,0.78
2020700000,KS,2107,1491,0.71
2020900000,KS,72038,50295,0.70
2100100000,KY,13622,8332,0.61
2100300000,KY,14426,8184,0.57
2100500000,KY,17722,11563,0.65
2100700000,KY,6406,4150,0.65
2100900000,KY,30762,18780,0.61
2101100000,KY,9213,4699,0.51
2101300000,KY,21139,9864,0.47
2101500000,KY,98668,58250,0.59
2101700000,KY,14651,8911,0.61
2101900000,KY,39269,20866,0.53
2102100000,KY,21602,13133,0.61
2102300000,KY,6303,3630,0.58
2102500000,KY,11701,5925,0.51
2102700000,KY,14989,8898,0.59
2102900000,KY,57947,36416,0.63
2103100000,KY,9375,5647,0.60
2103300000,KY,10070,6042,0.60
2103500000,KY,29282,16281,0.56
2103700000,KY,71725,43139,0.60
2103900000,KY,4011,2624,0.65
2104100000,KY,7832,3910,0.50
2104300000,KY,19824,10473,0.53
2104500000,KY,10942,6512,0.60
2104700000,KY,50265,22260,0.44
2104900000,KY,28073,16463,0.59
2105100000,KY,14662,6863,0.47
2105300000,KY,7491,4513,0.60
2105500000,KY,6683,4072,0.61
2105700000,KY,5396,3123,0.58
2105900000,KY,72731,46428,0.64
2106100000,KY,9053,5344,0.59
2106300000,KY,5213,3001,0.58
2106500000,KY,10526,5697,0.54
2106700000,KY,224659,139131,0.62
2106900000,KY,10735,6384,0.59
2107100000,KY,30446,16909,0.56
2107300000,KY,36722,24304,0.66
2107500000,KY,5477,2411,0.44
2107700000,KY,6384,3386,0.53
2107900000,KY,12982,7689,0.59
2108100000,KY,17721,9690,0.55
2108300000,KY,25570,16794,0.66
2108500000,KY,18196,10779,0.59
2108700000,KY,8772,5401,0.62
2108900000,KY,29154,16589,0.57
2109100000,KY,6737,4343,0.64
2109300000,KY,80113,43749,0.55
2109500000,KY,20607,11005,0.53
2109700000,KY,13509,7944,0.59
2109900000,KY,13209,7358,0.56
2110100000,KY,34756,19917,0.57
2110300000,KY,11908,7254,0.61
2110500000,KY,3727,2180,0.58
2110700000,KY,34564,20551,0.59
2110900000,KY,9979,5567,0.56
2111100000,KY,582338,355787,0.61
2111300000,KY,39210,23662,0.60
2111500000,KY,17877,9694,0.54
2111700000,KY,128324,73120,0.57
2111900000,KY,11304,5935,0.53
2112100000,KY,24143,11509,0.48
2112300000,KY,10428,6450,0.62
2112500000,KY,46190,25157,0.54
2112700000,KY,12427,6172,0.50
2112900000,KY,5248,2732,0.52
2113100000,KY,8549,4557,0.53
2113300000,KY,16444,9370,0.57
2113500000,KY,10165,5423,0.53
2113700000,KY,17943,9479,0.53
2113900000,KY,7587,4686,0.62
2114100000,KY,17787,11037,0.62
2114300000,KY,6389,4017,0.63
2114500000,KY,53669,31663,0.59
2114700000,KY,11180,5843,0.52
2114900000,KY,6979,4618,0.66
2115100000,KY,63600,37839,0.59
2115300000,KY,10051,5290,0.53
2115500000,KY,13135,8229,0.63
2115700000,KY,25494,16948,0.66
2115900000,KY,8290,4004,0.48
2116100000,KY,13037,7319,0.56
2116300000,KY,21149,12382,0.59
2116500000,KY,5345,2852,0.53
2116700000,KY,17511,10721,0.61
2116900000,KY,7731,4707,0.61
2117100000,KY,8571,5050,0.59
2117300000,KY,20277,11587,0.57
2117500000,KY,9113,4878,0.54
2117700000,KY,22700,13253,0.58
2117900000,KY,33025,21022,0.64
2118100000,KY,5438,2916,0.54
2118300000,KY,17478,10542,0.60
2118500000,KY,50185,33361,0.66
2118700000,KY,8090,5076,0.63
2118900000,KY,3568,1780,0.50
2119100000,KY,10324,6077,0.59
2119300000,KY,20812,10799,0.52
2119500000,KY,49140,25148,0.51
2119700000,KY,9933,5061,0.51
2119900000,KY,47323,28314,0.60
2120100000,KY,1743,1034,0.59
2120300000,KY,12353,6610,0.54
2120500000,KY,14847,8985,0.61
2120700000,KY,14016,8279,0.59
2120900000,KY,38734,24567,0.63
2121100000,KY,31586,20821,0.66
2121300000,KY,13585,7595,0.56
2121500000,KY,14146,9603,0.68
2121700000,KY,18128,11426,0.63
2121900000,KY,8374,4848,0.58
2122100000,KY,11643,6795,0.58
2122300000,KY,7171,3843,0.54
2122500000,KY,10248,6263,0.61
