FIPSCode,State,A3a,participated,percentage_participated
3301150740,NH,4290,3459,0.81
3301151940,NH,3731,2866,0.77
3301159940,NH,10065,7855,0.78
3301160580,NH,5482,4039,0.74
3301168820,NH,284,248,0.87
3301176260,NH,1013,880,0.87
3301179780,NH,6225,5162,0.83
3301185220,NH,2735,2303,0.84
3301185940,NH,143,125,0.87
3301300660,NH,2978,2251,0.76
3301301460,NH,1931,1461,0.76
3301306260,NH,2644,1941,0.73
3301306500,NH,6719,5181,0.77
3301306980,NH,1257,1011,0.80
3301309860,NH,1962,1625,0.83
3301312420,NH,1983,1614,0.81
3301314201,NH,3067,2438,0.79
3301314202,NH,2885,2170,0.75
3301314203,NH,2108,1609,0.76
3301314204,NH,3193,2289,0.72
3301314205,NH,3666,2670,0.73
3301314206,NH,2987,1994,0.67
3301314207,NH,3461,2706,0.78
3301314208,NH,2797,2104,0.75
3301314209,NH,2804,1983,0.71
3301314210,NH,3670,2934,0.80
3301316980,NH,865,706,0.82
3301319460,NH,2218,1843,0.83
3301324900,NH,3534,2703,0.76
3301327381,NH,1878,1388,0.74
3301327382,NH,1480,1026,0.69
3301327383,NH,1992,1501,0.75
3301335540,NH,3834,2768,0.72
3301335860,NH,790,562,0.71
3301337300,NH,10651,8257,0.78
3301337540,NH,4953,3984,0.80
3301343380,NH,4242,3364,0.79
3301350900,NH,1735,1382,0.80
3301352100,NH,3902,3102,0.79
3301354260,NH,3311,2420,0.73
3301360020,NH,5355,4073,0.76
3301361940,NH,2742,2011,0.73
3301366980,NH,1091,835,0.77
3301375460,NH,1564,1298,0.83
3301378580,NH,2296,1838,0.80
3301380020,NH,1393,1185,0.85
3301384900,NH,1066,920,0.86
3301502340,NH,5914,4589,0.78
3301502820,NH,4284,3586,0.84
3301507220,NH,3174,2595,0.82
3301509300,NH,3256,2636,0.81
3301512100,NH,3865,3051,0.79
3301517140,NH,3327,2613,0.79
3301517460,NH,3655,2925,0.80
3301517940,NH,23431,17465,0.75
3301521380,NH,1816,1583,0.87
3301524660,NH,5253,4050,0.77
3301525380,NH,12766,9567,0.75
3301527940,NH,3586,2798,0.78
3301531700,NH,3180,2666,0.84
3301532900,NH,6524,5554,0.85
3301533060,NH,13899,10443,0.75
3301533460,NH,2076,1626,0.78
3301539780,NH,1802,1427,0.79
3301540100,NH,4534,3764,0.83
3301543220,NH,18480,14477,0.78
3301550980,NH,966,823,0.85
3301551380,NH,1323,1178,0.89
3301551620,NH,754,617,0.82
3301552340,NH,7952,5530,0.70
3301552900,NH,3596,2781,0.77
3301554580,NH,4043,3239,0.80
3301556820,NH,3477,2660,0.77
3301557460,NH,3960,3178,0.80
3301562500,NH,5777,4493,0.78
3301562901,NH,3957,2849,0.72
3301562902,NH,4223,3203,0.76
3301562903,NH,3302,2507,0.76
3301562904,NH,2981,2371,0.80
3301562905,NH,3774,2685,0.71
3301564020,NH,7304,5497,0.75
3301566180,NH,5356,4151,0.78
3301566660,NH,22255,16435,0.74
3301567620,NH,4506,3637,0.81
3301568260,NH,6221,4587,0.74
3301571140,NH,705,604,0.86
3301574340,NH,6389,5016,0.79
3301585780,NH,10412,9070,0.87
3301703460,NH,6810,5378,0.79
3301718821,NH,3592,2884,0.80
3301718822,NH,3658,3022,0.83
3301718823,NH,4322,3529,0.82
3301718824,NH,3774,3193,0.85
3301718825,NH,3076,2606,0.85
3301718826,NH,2983,2455,0.82
3301719700,NH,15487,9746,0.63
3301726020,NH,4369,3183,0.73
3301741460,NH,3517,2697,0.77
3301744820,NH,1578,1166,0.74
3301747700,NH,1256,948,0.75
3301748660,NH,3263,2374,0.73
3301751220,NH,2090,1689,0.81
3301765141,NH,3602,2715,0.75
3301765142,NH,3692,2801,0.76
3301765143,NH,3581,2634,0.74
3301765144,NH,3259,2454,0.75
3301765145,NH,3460,2648,0.77
3301765146,NH,3116,2192,0.70
3301765540,NH,2148,1638,0.76
3301769941,NH,1997,1424,0.71
3301769942,NH,1614,1102,0.68
3301769943,NH,1543,1103,0.71
3301769944,NH,1570,1136,0.72
3301769945,NH,1267,823,0.65
3301773860,NH,3266,2612,0.80
3301900260,NH,716,578,0.81
3301911380,NH,3278,2417,0.74
3301912901,NH,2061,1597,0.77
3301912902,NH,2661,2227,0.84
3301912903,NH,2305,1904,0.83
3301915060,NH,1261,1062,0.84
3301916340,NH,538,439,0.82
3301930500,NH,596,457,0.77
3301931220,NH,2816,2135,0.76
3301940900,NH,485,402,0.83
3301941700,NH,825,687,0.83
3301952580,NH,4146,3005,0.72
3301962340,NH,1764,1524,0.86
3301972740,NH,974,835,0.86
3301975060,NH,2777,2184,0.79
3301977940,NH,1043,821,0.79
3301978980,NH,855,718,0.84
3400100000,NJ,159776,119416,0.75
3400300000,NJ,558446,426567,0.76
3400500000,NJ,290870,224614,0.77
3400700000,NJ,326840,231479,0.71
3400900000,NJ,65690,49939,0.76
3401100000,NJ,83432,55064,0.66
3401300000,NJ,456258,316111,0.69
3401500000,NJ,191486,142617,0.74
3401700000,NJ,304162,223869,0.74
3401900000,NJ,89537,72709,0.81
3402100000,NJ,213530,159738,0.75
3402300000,NJ,464721,332515,0.72
3402500000,NJ,421871,323918,0.77
3402700000,NJ,324458,256517,0.79
3402900000,NJ,375697,280409,0.75
3403100000,NJ,277171,198477,0.72
3403300000,NJ,41188,30048,0.73
3403500000,NJ,209264,160545,0.77
3403700000,NJ,95774,75546,0.79
3403900000,NJ,304411,226793,0.75
3404100000,NJ,66960,50412,0.75
3500100000,NM,378729,276640,0.73
3500300000,NM,2727,2069,0.76
3500500000,NM,29789,20353,0.68
3500600000,NM,13325,8134,0.61
3500700000,NM,7973,5375,0.67
3500900000,NM,20101,13450,0.67
3501100000,NM,1272,931,0.73
3501300000,NM,101226,71084,0.70
3501500000,NM,28170,19773,0.70
3501700000,NM,17961,12957,0.72
3501900000,NM,3228,1856,0.57
3502100000,NM,692,531,0.77
3502300000,NM,2847,1919,0.67
3502500000,NM,30869,17816,0.58
3502700000,NM,12347,8961,0.73
3502800000,NM,12947,10987,0.85
3502900000,NM,10536,7368,0.70
3503100000,NM,39023,21934,0.56
3503300000,NM,3572,2474,0.69
3503500000,NM,28825,20215,0.70
3503700000,NM,5512,3606,0.65
3503900000,NM,23178,15015,0.65
3504100000,NM,9159,5995,0.65
3504300000,NM,85866,62073,0.72
3504500000,NM,65827,46338,0.70
3504700000,NM,18339,10840,0.59
3504900000,NM,90440,71925,0.80
3505100000,NM,6923,5220,0.75
3505300000,NM,10501,6924,0.66
3505500000,NM,23354,15370,0.66
3505700000,NM,8861,6399,0.72
3505900000,NM,2321,1718,0.74
3506100000,NM,39619,27823,0.70
3200100000,NV,13136,10955,0.83
3200300000,NV,1020659,769539,0.75
3200500000,NV,29755,27989,0.94
3200700000,NV,23768,18588,0.78
3200900000,NV,584,425,0.73
3201100000,NV,971,860,0.89
3201300000,NV,8028,6454,0.80
3201500000,NV,2976,2416,0.81
3201700000,NV,2717,2137,0.79
3201900000,NV,33545,23814,0.71
3202100000,NV,2946,2005,0.68
3202300000,NV,27378,19627,0.72
3202700000,NV,2518,1987,0.79
3202900000,NV,2969,2560,0.86
3203100000,NV,264801,210287,0.79
3203300000,NV,4664,3788,0.81
3251000000,NV,27144,25061,0.92
3600100000,NY,186256,141413,0.76
3600300000,NY,25255,18871,0.75
3600500000,NY,1507030,402443,0.27
3600700000,NY,116059,87177,0.75
3600900000,NY,47562,31547,0.66
3601100000,NY,45852,33341,0.73
3601300000,NY,77503,55093,0.71
3601500000,NY,50899,36514,0.72
3601700000,NY,28437,20317,0.71
3601900000,NY,51209,31791,0.62
3602100000,NY,41793,31151,0.75
3602300000,NY,27807,20435,0.73
3602500000,NY,26989,19896,0.74
3602700000,NY,177445,131140,0.74
3602900000,NY,593557,431537,0.73
3603100000,NY,27307,17462,0.64
3603300000,NY,25524,17189,0.67
3603500000,NY,32750,21464,0.66
3603700000,NY,36782,26676,0.73
3603900000,NY,29697,22295,0.75
3604100000,NY,4234,3277,0.77
3604300000,NY,41512,26071,0.63
3604500000,NY,60991,37562,0.62
3604700000,NY,2936982,810505,0.28
3604900000,NY,16787,11455,0.68
3605100000,NY,39150,30313,0.77
3605300000,NY,41182,30353,0.74
3605500000,NY,461875,350968,0.76
3605700000,NY,27558,19274,0.70
3605900000,NY,653636,653636,1.00
3606100000,NY,2160843,673111,0.31
3606300000,NY,127000,93059,0.73
3606500000,NY,129996,91912,0.71
3606700000,NY,285756,212864,0.74
3606900000,NY,70853,52691,0.74
3607100000,NY,210105,156666,0.75
3607300000,NY,23436,16569,0.71
3607500000,NY,76979,48547,0.63
3607700000,NY,34318,25937,0.76
3607900000,NY,62973,48563,0.77
3608100000,NY,2289064,691209,0.30
3608300000,NY,96835,72135,0.74
3608500000,NY,585239,182120,0.31
3608700000,NY,190305,137719,0.72
3608900000,NY,63832,39632,0.62
3609100000,NY,165926,114841,0.69
3609300000,NY,93736,67905,0.72
3609500000,NY,18604,14258,0.77
3609700000,NY,11858,8770,0.74
3609900000,NY,19250,14090,0.73
3610100000,NY,57159,42329,0.74
3610300000,NY,968338,686490,0.71
3610500000,NY,46046,30484,0.66
3610700000,NY,30743,22555,0.73
3610900000,NY,54546,43039,0.79
3611100000,NY,115774,86268,0.75
3611300000,NY,42089,31716,0.75
3611500000,NY,34806,24661,0.71
3611700000,NY,58897,40009,0.68
3611900000,NY,596619,424055,0.71
3612100000,NY,25714,17501,0.68
3612295082,NY,13633,10207,0.75
3900100000,OH,16945,11583,0.68
3900300000,OH,68054,46735,0.69
3900500000,OH,35452,25104,0.71
3900700000,OH,60624,41797,0.69
3900900000,OH,45418,30042,0.66
3901100000,OH,31666,24019,0.76
3901300000,OH,46971,31848,0.68
3901500000,OH,28405,19889,0.70
3901700000,OH,247972,176301,0.71
3901900000,OH,18002,13368,0.74
3902100000,OH,25696,18548,0.72
3902300000,OH,89006,62756,0.71
3902500000,OH,136454,100859,0.74
3902700000,OH,26351,18966,0.72
3902900000,OH,65637,47025,0.72
3903100000,OH,22905,15865,0.69
3903300000,OH,28096,19534,0.70
3903500000,OH,890626,617350,0.69
3903700000,OH,34063,25821,0.76
3903900000,OH,25629,18603,0.73
3904100000,OH,133074,106996,0.80
3904300000,OH,53103,38478,0.72
3904500000,OH,100115,74225,0.74
3904700000,OH,16247,11325,0.70
3904900000,OH,843481,593435,0.70
3905100000,OH,29058,21602,0.74
3905300000,OH,18831,13250,0.70
3905500000,OH,64856,51580,0.80
3905700000,OH,114521,83701,0.73
3905900000,OH,24186,16852,0.70
3906100000,OH,580341,417456,0.72
3906300000,OH,50411,36571,0.73
3906500000,OH,18035,12516,0.69
3906700000,OH,10056,7231,0.72
3906900000,OH,19315,14216,0.74
3907100000,OH,27621,18769,0.68
3907300000,OH,18444,13103,0.71
3907500000,OH,17938,11654,0.65
3907700000,OH,35732,25343,0.71
3907900000,OH,21235,13951,0.66
3908100000,OH,47714,32904,0.69
3908300000,OH,40590,29278,0.72
3908500000,OH,155424,118729,0.76
3908700000,OH,44143,27239,0.62
3908900000,OH,117019,84629,0.72
3909100000,OH,30684,22019,0.72
3909300000,OH,206401,143296,0.69
3909500000,OH,300920,200973,0.67
3909700000,OH,24035,17685,0.74
3909900000,OH,166107,117636,0.71
3910100000,OH,39530,26885,0.68
3910300000,OH,121238,93198,0.77
3910500000,OH,15148,10192,0.67
3910700000,OH,28731,22053,0.77
3910900000,OH,72257,53567,0.74
3911100000,OH,9641,7040,0.73
3911300000,OH,372674,261989,0.70
3911500000,OH,9005,6607,0.73
3911700000,OH,24860,16820,0.68
3911900000,OH,53925,37708,0.70
3912100000,OH,8117,6165,0.76
3912300000,OH,29606,22678,0.77
3912500000,OH,12699,9220,0.73
3912700000,OH,22087,15337,0.69
3912900000,OH,34056,25257,0.74
3913100000,OH,18243,12218,0.67
3913300000,OH,107183,77602,0.72
3913500000,OH,27815,20887,0.75
3913700000,OH,23507,19161,0.82
3913900000,OH,81942,56106,0.68
3914100000,OH,44003,30935,0.70
3914300000,OH,39691,28688,0.72
3914500000,OH,46386,31513,0.68
3914700000,OH,34399,24568,0.71
3914900000,OH,33984,24116,0.71
3915100000,OH,249902,178605,0.71
3915300000,OH,360766,263518,0.73
3915500000,OH,140077,97700,0.70
3915700000,OH,58365,42154,0.72
3915900000,OH,36206,27959,0.77
3916100000,OH,19668,14062,0.71
3916300000,OH,8349,5662,0.68
3916500000,OH,152192,119450,0.78
3916700000,OH,42319,30567,0.72
3916900000,OH,74772,50845,0.68
3917100000,OH,24736,17670,0.71
3917300000,OH,93751,65551,0.70
3917500000,OH,15586,10733,0.69
4000100000,OK,8967,6660,0.74
4000300000,OK,2671,2263,0.85
4000500000,OK,6464,5084,0.79
4000700000,OK,2741,2280,0.83
4000900000,OK,9839,7616,0.77
4001100000,OK,4788,3802,0.79
4001300000,OK,19988,13961,0.70
4001500000,OK,11917,9469,0.79
4001700000,OK,66377,55566,0.84
4001900000,OK,25248,18658,0.74
4002100000,OK,20578,16589,0.81
4002300000,OK,7185,5471,0.76
4002500000,OK,1387,1085,0.78
4002700000,OK,134972,110739,0.82
4002900000,OK,3377,2400,0.71
4003100000,OK,44853,33007,0.74
4003300000,OK,3233,2610,0.81
4003500000,OK,7043,5815,0.83
4003700000,OK,34942,28975,0.83
4003900000,OK,14065,10585,0.75
4004100000,OK,19352,15843,0.82
4004300000,OK,2685,2268,0.84
4004500000,OK,2240,1836,0.82
4004700000,OK,26883,21880,0.81
4004900000,OK,13355,10644,0.80
4005100000,OK,27410,22404,0.82
4005300000,OK,2614,2206,0.84
4005500000,OK,2465,1905,0.77
4005700000,OK,1239,981,0.79
4005900000,OK,1789,1536,0.86
4006100000,OK,5955,4787,0.80
4006300000,OK,5712,4542,0.80
4006500000,OK,9914,7844,0.79
4006700000,OK,3015,2365,0.78
4006900000,OK,5210,4089,0.78
4007100000,OK,21302,16886,0.79
4007300000,OK,7384,6168,0.84
4007500000,OK,4381,3525,0.80
4007700000,OK,5382,4084,0.76
4007900000,OK,22714,17311,0.76
4008100000,OK,17149,14118,0.82
4008300000,OK,23278,19123,0.82
4008500000,OK,5057,3797,0.75
4008700000,OK,20572,16931,0.82
4008900000,OK,13573,10779,0.79
4009100000,OK,10298,7992,0.78
4009300000,OK,3964,3430,0.87
4009500000,OK,6889,5528,0.80
4009700000,OK,19155,15776,0.82
4009900000,OK,6824,5544,0.81
4010100000,OK,31974,24347,0.76
4010300000,OK,5735,4914,0.86
4010500000,OK,5262,4261,0.81
4010700000,OK,5053,4022,0.80
4010900000,OK,344215,276999,0.80
4011100000,OK,17716,14049,0.79
4011300000,OK,23310,19180,0.82
4011500000,OK,13843,10736,0.78
4011700000,OK,7911,6415,0.81
4011900000,OK,34779,27876,0.80
4012100000,OK,22610,17525,0.78
4012300000,OK,18688,14913,0.80
4012500000,OK,32671,25683,0.79
4012700000,OK,5864,4495,0.77
4012900000,OK,2140,1776,0.83
4013100000,OK,48833,41038,0.84
4013300000,OK,10383,8074,0.78
4013500000,OK,18332,14479,0.79
4013700000,OK,22389,17990,0.80
4013900000,OK,7591,5804,0.76
4014100000,OK,3600,2709,0.75
4014300000,OK,302691,249491,0.82
4014500000,OK,36249,31579,0.87
4014700000,OK,27577,22341,0.81
4014900000,OK,5859,4692,0.80
4015100000,OK,4390,3690,0.84
4015300000,OK,9401,7670,0.82
4100100000,OR,11164,9011,0.81
4100300000,OR,58361,50085,0.86
4100500000,OR,268786,219549,0.82
4100700000,OR,24946,20098,0.81
4100900000,OR,34244,27294,0.80
4101100000,OR,40326,31960,0.79
4101300000,OR,15224,12452,0.82
4101500000,OR,15865,12876,0.81
4101700000,OR,122210,101582,0.83
4101900000,OR,71460,55069,0.77
4102100000,OR,1275,1064,0.83
4102300000,OR,5138,4431,0.86
4102500000,OR,4768,4081,0.86
4102700000,OR,13553,11299,0.83
4102900000,OR,140543,112062,0.80
4103100000,OR,12607,9667,0.77
4103300000,OR,60404,45754,0.76
4103500000,OR,39802,31292,0.79
4103700000,OR,4746,4012,0.85
4103900000,OR,242617,196413,0.81
4104100000,OR,32103,25783,0.80
4104300000,OR,76279,60264,0.79
4104500000,OR,14165,10807,0.76
4104700000,OR,182085,141140,0.78
4104900000,OR,5540,4269,0.77
4105100000,OR,504955,406720,0.81
4105300000,OR,51861,41455,0.80
4105500000,OR,1241,1049,0.85
4105700000,OR,17420,14136,0.81
4105900000,OR,38872,28488,0.73
4106100000,OR,16650,13305,0.80
4106300000,OR,5211,4452,0.85
4106500000,OR,15613,12273,0.79
4106700000,OR,340657,276109,0.81
4106900000,OR,986,840,0.85
4107100000,OR,62133,50311,0.81
4200100000,PA,-888888: Not Applicable,48057,0.00
4200300000,PA,-888888: Not Applicable,654841,0.00
4200500000,PA,-888888: Not Applicable,32106,0.00
4200700000,PA,-888888: Not Applicable,84827,0.00
4200900000,PA,-888888: Not Applicable,23863,0.00
4201100000,PA,-888888: Not Applicable,186732,0.00
4201300000,PA,-888888: Not Applicable,56075,0.00
4201500000,PA,-888888: Not Applicable,26404,0.00
4201700000,PA,-888888: Not Applicable,349857,0.00
4201900000,PA,-888888: Not Applicable,98533,0.00
4202100000,PA,-888888: Not Applicable,64243,0.00
4202300000,PA,-888888: Not Applicable,2233,0.00
4202500000,PA,-888888: Not Applicable,29273,0.00
4202700000,PA,-888888: Not Applicable,77552,0.00
4202900000,PA,-888888: Not Applicable,273897,0.00
4203100000,PA,-888888: Not Applicable,17820,0.00
4203300000,PA,-888888: Not Applicable,34674,0.00
4203500000,PA,-888888: Not Applicable,15571,0.00
4203700000,PA,-888888: Not Applicable,28701,0.00
4203900000,PA,-888888: Not Applicable,38203,0.00
4204100000,PA,-888888: Not Applicable,124264,0.00
4204300000,PA,-888888: Not Applicable,133740,0.00
4204500000,PA,-888888: Not Applicable,302717,0.00
4204700000,PA,-888888: Not Applicable,14720,0.00
4204900000,PA,-888888: Not Applicable,126181,0.00
4205100000,PA,-888888: Not Applicable,54880,0.00
4205300000,PA,-888888: Not Applicable,2435,0.00
4205500000,PA,-888888: Not Applicable,70805,0.00
4205700000,PA,-888888: Not Applicable,6877,0.00
4205900000,PA,-888888: Not Applicable,16046,0.00
4206100000,PA,-888888: Not Applicable,19908,0.00
4206300000,PA,-888888: Not Applicable,38225,0.00
4206500000,PA,-888888: Not Applicable,19618,0.00
4206700000,PA,-888888: Not Applicable,10565,0.00
4206900000,PA,-888888: Not Applicable,104743,0.00
4207100000,PA,-888888: Not Applicable,246656,0.00
4207300000,PA,-888888: Not Applicable,41202,0.00
4207500000,PA,-888888: Not Applicable,62665,0.00
4207700000,PA,-888888: Not Applicable,164531,0.00
4207900000,PA,-888888: Not Applicable,136937,0.00
4208100000,PA,-888888: Not Applicable,52045,0.00
4208300000,PA,-888888: Not Applicable,16641,0.00
4208500000,PA,-888888: Not Applicable,53371,0.00
4208700000,PA,-888888: Not Applicable,18484,0.00
4208900000,PA,-888888: Not Applicable,70906,0.00
4209100000,PA,-888888: Not Applicable,445866,0.00
4209300000,PA,-888888: Not Applicable,8668,0.00
4209500000,PA,-888888: Not Applicable,145570,0.00
4209700000,PA,-888888: Not Applicable,37140,0.00
4209900000,PA,-888888: Not Applicable,21524,0.00
4210100000,PA,-888888: Not Applicable,724380,0.00
4210300000,PA,-888888: Not Applicable,26473,0.00
4210500000,PA,-888888: Not Applicable,7970,0.00
4210700000,PA,-888888: Not Applicable,63927,0.00
4210900000,PA,-888888: Not Applicable,16620,0.00
4211100000,PA,-888888: Not Applicable,36585,0.00
4211300000,PA,-888888: Not Applicable,3185,0.00
4211500000,PA,-888888: Not Applicable,19549,0.00
4211700000,PA,-888888: Not Applicable,18579,0.00
4211900000,PA,-888888: Not Applicable,17945,0.00
4212100000,PA,-888888: Not Applicable,23733,0.00
4212300000,PA,-888888: Not Applicable,18775,0.00
4212500000,PA,-888888: Not Applicable,102732,0.00
4212700000,PA,-888888: Not Applicable,24307,0.00
4212900000,PA,-888888: Not Applicable,184467,0.00
4213100000,PA,-888888: Not Applicable,13360,0.00
4213300000,PA,-888888: Not Applicable,209171,0.00
7200000000,PR,2867558,1589991,0.55
4400105140,RI,13775,9879,0.72
4400109280,RI,15192,10807,0.71
4400173760,RI,7546,5135,0.68
4400318640,RI,24956,17752,0.71
4400322240,RI,10626,7807,0.73
4400374300,RI,59879,42034,0.70
4400377720,RI,4770,3400,0.71
4400378440,RI,17664,12170,0.69
4400536820,RI,4715,3622,0.77
4400542400,RI,3073,2233,0.73
4400545460,RI,10730,7650,0.71
4400549960,RI,13730,9812,0.71
4400557880,RI,13524,9714,0.72
4400570880,RI,12115,8553,0.71
4400711800,RI,10742,7323,0.68
4400714140,RI,8109,4331,0.53
4400719180,RI,53283,37271,0.70
4400720080,RI,24510,17469,0.71
4400722960,RI,32108,20716,0.65
4400727460,RI,3838,2558,0.67
4400730340,RI,7713,5313,0.69
4400737720,RI,21404,13989,0.65
4400741500,RI,17346,11588,0.67
4400751760,RI,23681,15631,0.66
4400752480,RI,9767,6359,0.65
4400754640,RI,39725,23323,0.59
4400759000,RI,113191,56296,0.50
4400764220,RI,8345,6135,0.74
4400766200,RI,14684,10527,0.72
4400780780,RI,24678,12858,0.52
4400914500,RI,6074,4503,0.74
4400925300,RI,5037,3627,0.72
4400935380,RI,6073,4270,0.70
4400948340,RI,11725,8247,0.70
4400950500,RI,1356,909,0.67
4400951580,RI,21720,15451,0.71
4400961160,RI,5983,4185,0.70
4400967460,RI,20847,14825,0.71
4400977000,RI,16977,11275,0.66
4500100000,SC,15419,10765,0.70
4500300000,SC,111606,75593,0.68
4500500000,SC,6039,3636,0.60
4500700000,SC,119129,81452,0.68
4500900000,SC,9817,6291,0.64
4501100000,SC,13897,9555,0.69
4501300000,SC,113197,79579,0.70
4501500000,SC,119259,80629,0.68
4501700000,SC,10839,7629,0.70
4501900000,SC,281003,179107,0.64
4502100000,SC,32295,21918,0.68
4502300000,SC,21071,14340,0.68
4502500000,SC,26334,16794,0.64
4502700000,SC,23810,15661,0.66
4502900000,SC,25309,17452,0.69
4503100000,SC,44433,29950,0.67
4503300000,SC,20048,11818,0.59
4503500000,SC,100511,63548,0.63
4503700000,SC,16823,11749,0.70
4503900000,SC,15950,11414,0.72
4504100000,SC,88135,57096,0.65
4504300000,SC,42949,31957,0.74
4504500000,SC,316917,218227,0.69
4504700000,SC,41891,29297,0.70
4504900000,SC,13021,8929,0.69
4505100000,SC,206853,134794,0.65
4505300000,SC,17954,11540,0.64
4505500000,SC,41765,29067,0.70
4505700000,SC,55229,39438,0.71
4505900000,SC,39809,26962,0.68
4506100000,SC,12235,8178,0.67
4506300000,SC,178496,122827,0.69
4506500000,SC,7164,5277,0.74
4506700000,SC,22352,14438,0.65
4506900000,SC,18552,10412,0.56
4507100000,SC,23654,16949,0.72
4507300000,SC,50339,34114,0.68
4507500000,SC,59211,39391,0.67
4507700000,SC,69664,49480,0.71
4507900000,SC,255661,170697,0.67
4508100000,SC,11827,8675,0.73
4508300000,SC,178682,122392,0.68
4508500000,SC,69213,42577,0.62
4508700000,SC,17627,12204,0.69
4508900000,SC,22669,15231,0.67
4509100000,SC,168369,115923,0.69
4600300000,SD,1883,1448,0.77
4600500000,SD,10034,6970,0.69
4600700000,SD,1872,1171,0.63
4600900000,SD,3999,3077,0.77
4601100000,SD,18250,13057,0.72
4601300000,SD,23282,16511,0.71
4601500000,SD,3388,2380,0.70
4601700000,SD,945,511,0.54
4601900000,SD,6716,4419,0.66
4602100000,SD,1147,858,0.75
4602300000,SD,5469,3195,0.58
4602500000,SD,2557,1712,0.67
4602700000,SD,7741,5206,0.67
4602900000,SD,16713,11990,0.72
4603100000,SD,2361,1203,0.51
4603300000,SD,6344,4823,0.76
4603500000,SD,11507,8188,0.71
4603700000,SD,4148,2842,0.69
4603900000,SD,2883,2138,0.74
4604100000,SD,3333,1734,0.52
4604300000,SD,2118,1642,0.78
4604500000,SD,2819,1964,0.70
4604700000,SD,5111,3649,0.71
4604900000,SD,1548,1158,0.75
4605100000,SD,4879,3669,0.75
4605300000,SD,2836,2110,0.74
4605500000,SD,1378,1060,0.77
4605700000,SD,3840,2821,0.73
4605900000,SD,2444,1881,0.77
4606100000,SD,3397,2051,0.60
4606300000,SD,967,782,0.81
4606500000,SD,11098,8443,0.76
4606700000,SD,4846,3421,0.71
4606900000,SD,1005,703,0.70
4607100000,SD,1882,1060,0.56
4607300000,SD,1282,1002,0.78
4607500000,SD,710,572,0.81
4607700000,SD,3467,2609,0.75
4607900000,SD,10124,7011,0.69
4608100000,SD,16970,12123,0.71
4608300000,SD,34626,25802,0.75
4608500000,SD,2273,1464,0.64
4608700000,SD,3647,2667,0.73
4608900000,SD,1854,1216,0.66
4609100000,SD,2787,2014,0.72
4609300000,SD,16324,11846,0.73
4609500000,SD,1167,697,0.60
4609700000,SD,1555,1114,0.72
4609900000,SD,115594,79455,0.69
4610100000,SD,4187,3002,0.72
4610300000,SD,71580,48782,0.68
4610500000,SD,2185,1656,0.76
4610700000,SD,1868,1366,0.73
4610900000,SD,6542,4238,0.65
4611100000,SD,1588,1146,0.72
4611300000,SD,8037,2961,0.37
4611500000,SD,4241,3052,0.72
4611700000,SD,2145,1592,0.74
4611900000,SD,1108,876,0.79
4612100000,SD,4707,2132,0.45
4612300000,SD,3766,2673,0.71
4612500000,SD,5626,4266,0.76
4612700000,SD,11170,8061,0.72
4612900000,SD,3743,2523,0.67
4613500000,SD,13716,4438,0.32
4613700000,SD,1601,785,0.49
4700100000,TN,40809,30509,0.75
4700300000,TN,21839,15489,0.71
4700500000,TN,8960,6388,0.71
4700700000,TN,7336,4755,0.65
4700900000,TN,71478,53303,0.75
4701100000,TN,62265,39062,0.63
4701300000,TN,18508,12808,0.69
4701500000,TN,7036,5359,0.76
4701700000,TN,15001,10555,0.70
4701900000,TN,31689,21319,0.67
4702100000,TN,21543,16173,0.75
4702300000,TN,9594,6629,0.69
4702500000,TN,16977,10940,0.64
4702700000,TN,4951,2951,0.60
4702900000,TN,19843,12273,0.62
4703100000,TN,28443,20172,0.71
4703300000,TN,7410,5458,0.74
4703500000,TN,36459,26694,0.73
4703700000,TN,341657,252830,0.74
4703900000,TN,6458,4639,0.72
4704100000,TN,10311,7015,0.68
4704300000,TN,26327,19007,0.72
4704500000,TN,19505,13428,0.69
4704700000,TN,25299,19554,0.77
4704900000,TN,10726,7466,0.70
4705100000,TN,21906,16556,0.76
4705300000,TN,26457,19715,0.75
4705500000,TN,16797,11213,0.67
4705700000,TN,12290,8163,0.66
4705900000,TN,33531,23833,0.71
4706100000,TN,6910,4847,0.70
4706300000,TN,32724,20907,0.64
4706500000,TN,197899,145049,0.73
4706700000,TN,4146,2290,0.55
4706900000,TN,13350,9405,0.70
4707100000,TN,13604,10053,0.74
4707300000,TN,28346,21004,0.74
4707500000,TN,9927,6964,0.70
4707700000,TN,14882,10393,0.70
4707900000,TN,17424,13042,0.75
4708100000,TN,12551,7944,0.63
4708300000,TN,4585,3250,0.71
4708500000,TN,11924,7320,0.61
4708700000,TN,7038,4511,0.64
4708900000,TN,25872,19312,0.75
4709100000,TN,9147,6643,0.73
4709300000,TN,243300,184843,0.76
4709500000,TN,3268,1994,0.61
4709700000,TN,12295,8131,0.66
4709900000,TN,22155,15834,0.71
4710100000,TN,6736,4677,0.69
4710300000,TN,17901,13494,0.75
4710500000,TN,30607,23861,0.78
4710700000,TN,25690,19134,0.74
4710900000,TN,13369,10156,0.76
4711100000,TN,10905,7562,0.69
4711300000,TN,52789,38868,0.74
4711500000,TN,15279,11016,0.72
4711700000,TN,15455,11570,0.75
4711900000,TN,48365,35727,0.74
4712100000,TN,6120,4355,0.71
4712300000,TN,25234,17445,0.69
4712500000,TN,93978,58286,0.62
