time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-23T19:41:47.830Z,42.6805,-111.4214,6.68,2.6,ml,,47,0.251,0.92,us,us1000gg8d,2018-11-14T22:08:27.730Z,"15km E of Soda Springs, Idaho",earthquake,2.5,3.8,0.044,69,reviewed,us,us
2018-08-22T12:17:42.800Z,43.3309,-110.9146,1.08,3.1,ml,,64,0.055,0.44,us,us1000gfb0,2018-11-01T17:50:54.040Z,"11km WNW of Hoback, Wyoming",earthquake,1.1,2,0.049,54,reviewed,us,us
2018-08-07T10:19:57.430Z,44.6833333,-110.0418333,14.72,2.51,md,8,151,0.09828,0.2,uu,uu60291752,2018-08-08T19:22:20.600Z,"67km ENE of Old Faithful Geyser, Wyoming",earthquake,0.91,0.87,0.311,4,reviewed,uu,uu
2018-07-05T01:09:30.890Z,44.3715,-110.4275,11.11,2.5,ml,21,112,0.08536,0.18,uu,uu60287717,2018-09-27T14:03:41.040Z,"33km ESE of Old Faithful Geyser, Wyoming",earthquake,0.4,0.6,0.067,3,reviewed,uu,uu
2018-05-25T08:04:21.770Z,44.7615,-111.1271667,9.89,2.59,ml,27,52,0.03766,0.13,uu,uu60283157,2018-08-21T21:23:50.040Z,"11km N of West Yellowstone, Montana",earthquake,0.31,0.47,0.257,4,reviewed,uu,uu
2018-05-09T12:01:54.360Z,42.6795,-111.4282,5.25,2.6,ml,,82,0.131,0.37,us,us1000e1ay,2018-08-08T15:19:47.040Z,"14km E of Soda Springs, Idaho",earthquake,1.6,4.6,0.062,34,reviewed,us,us
2018-05-06T14:54:02.890Z,44.7516667,-110.9641667,10.75,3.05,ml,30,35,0.03088,0.18,uu,uu60280577,2018-07-27T20:20:28.040Z,"14km NE of West Yellowstone, Montana",earthquake,0.33,0.48,0.229,10,reviewed,uu,uu
2018-04-28T10:21:25.840Z,42.5631,-111.4335,5,2.9,ml,,54,0.098,0.37,us,us1000dtwp,2018-07-25T21:37:39.040Z,"17km SE of Soda Springs, Idaho",earthquake,1.1,1.9,0.044,68,reviewed,us,us
2018-04-24T21:33:50.380Z,42.5656,-111.4345,6.29,2.5,ml,,53,0.101,0.39,us,us1000drla,2018-07-25T21:36:30.040Z,"17km SE of Soda Springs, Idaho",earthquake,1.4,6.4,0.06,37,reviewed,us,us
2018-04-07T09:40:44.050Z,44.7583333,-111.1176667,10.18,2.68,ml,21,56,0.03866,0.1,uu,uu60276677,2018-06-30T01:11:32.040Z,"10km N of West Yellowstone, Montana",earthquake,0.29,0.53,0.176,4,reviewed,uu,uu
